"driverId","driverExpYears","qualiResultPosition","meanPace","maxPace","grid_penalty","is_top_5"
826,2,17,102003,102003,0,"FALSE"
828,2,22,102637,102637,0,"FALSE"
830,1,6,100048.333333333,100424,0,"TRUE"
831,1,19,102247,102247,0,"FALSE"
832,1,21,102393,102393,0,"FALSE"
835,0,15,101797.5,101820,0,"FALSE"
836,0,16,101940.5,101995,0,"FALSE"
839,0,20,102286,102286,0,"FALSE"
1,10,1,83210,84191,0,"TRUE"
4,16,13,85648.5,85872,1,"FALSE"
8,16,4,83587,84352,0,"TRUE"
13,15,7,84713,85099,0,"FALSE"
20,10,2,83689,85210,0,"TRUE"
154,8,6,84737,85419,0,"FALSE"
807,7,12,85033,85091,1,"FALSE"
815,6,11,85072.5,85081,1,"FALSE"
822,4,3,83403.3333333333,84514,0,"TRUE"
825,3,17,86847,86847,0,"FALSE"
826,3,9,85115.3333333333,85970,0,"FALSE"
828,3,15,86350.5,86465,1,"FALSE"
830,2,5,84019.6666666667,84482,0,"TRUE"
832,2,8,85008.6666666667,85542,0,"FALSE"
835,1,20,88244,88244,1,"FALSE"
838,1,18,86858,86858,0,"FALSE"
839,1,14,85788.5,86009,1,"FALSE"
840,0,19,87143,87143,1,"FALSE"
841,0,16,86419,86419,0,"FALSE"
1,10,1,92472.3333333333,93333,0,"TRUE"
4,16,13,94435.5,94499,0,"FALSE"
8,16,4,92554,93341,0,"TRUE"
13,15,6,93823.6666666667,94205,0,"FALSE"
20,10,2,92444.3333333333,93078,0,"TRUE"
154,8,17,95223,95223,1,"FALSE"
807,7,7,93889.6666666667,94453,0,"FALSE"
815,6,8,94094.3333333333,94657,0,"FALSE"
817,6,5,93540,94041,0,"TRUE"
822,4,3,92700.3333333333,93684,0,"FALSE"
825,3,12,94553,94942,0,"FALSE"
826,3,9,94064.3333333333,94440,0,"FALSE"
828,3,14,94969,95046,0,"FALSE"
830,2,19,95433,95433,1,"TRUE"
832,2,11,94358.5,94567,0,"FALSE"
835,1,18,95279,95279,1,"FALSE"
838,1,16,95023,95023,1,"FALSE"
839,1,20,95496,95496,1,"FALSE"
840,0,10,94098.6666666667,94220,0,"FALSE"
841,0,15,94963,94963,1,"FALSE"
1,10,2,89713.6666666667,90814,0,"TRUE"
4,16,15,92054,92054,0,"FALSE"
8,16,5,90132.6666666667,90988,0,"TRUE"
13,15,8,90708,91373,0,"FALSE"
20,10,3,89960,91037,0,"TRUE"
154,8,9,91103.6666666667,91691,0,"FALSE"
807,7,7,90356,91057,0,"FALSE"
815,6,18,92318,92318,0,"FALSE"
817,6,4,90569.6666666667,91667,0,"TRUE"
822,4,1,89788.3333333333,91041,0,"TRUE"
825,3,20,92900,92900,0,"FALSE"
826,3,11,91227,91531,0,"FALSE"
828,3,19,92543,92543,0,"FALSE"
830,2,6,90299.3333333333,90904,0,"FALSE"
832,2,16,92118,92118,0,"FALSE"
835,1,10,91143.6666666667,91458,0,"FALSE"
836,1,13,91704.5,91995,0,"FALSE"
838,1,17,92313,92313,0,"FALSE"
839,1,14,91729,91774,0,"FALSE"
840,0,12,91458,91748,0,"FALSE"
1,10,4,93978.6666666667,94409,0,"TRUE"
4,16,15,96506.5,96660,0,"FALSE"
8,16,2,93956.3333333333,94953,0,"TRUE"
13,15,6,95329,95828,0,"FALSE"
20,10,1,93908.3333333333,94493,0,"TRUE"
154,8,20,97620,97620,1,"FALSE"
807,7,8,95373.3333333333,95507,0,"FALSE"
815,6,9,95678.3333333333,96185,0,"FALSE"
817,6,5,95316,95560,0,"FALSE"
822,4,3,93531.3333333333,94041,0,"TRUE"
825,3,14,96212.5,96408,1,"FALSE"
826,3,13,95976,95984,1,"FALSE"
828,3,19,97507,97507,1,"FALSE"
830,2,7,95227.6666666667,95301,0,"TRUE"
832,2,11,95887.5,95948,1,"FALSE"
835,1,16,96462,96462,0,"FALSE"
836,1,18,97332,97332,1,"FALSE"
838,1,17,97070,97070,1,"FALSE"
839,1,10,95510.3333333333,95729,0,"FALSE"
840,0,12,96121.5,96279,1,"FALSE"
1,10,1,79956.6666666667,80511,0,"TRUE"
4,16,7,81438,82015,0,"FALSE"
8,16,4,80267.3333333333,80742,0,"FALSE"
13,15,9,81530.6666666667,82138,0,"FALSE"
20,10,2,80144.6666666667,80939,0,"TRUE"
154,8,14,81669.5,81822,0,"FALSE"
807,7,13,81744,82091,0,"FALSE"
815,6,8,81435.6666666667,81998,0,"TRUE"
817,6,6,80911.3333333333,81704,0,"TRUE"
822,4,3,80221.3333333333,80991,0,"FALSE"
825,3,11,81637,81945,0,"FALSE"
826,3,20,82746,82746,1,"FALSE"
828,3,16,82332,82332,0,"FALSE"
